"GENE","GWAS","LOC_NUM","Literature Search"
"ADAM15","META5",1,0
"ADAR","META5",1,0
"AQP10","META5",1,0
"ARHGEF2","META5",1,0
"ASH1L","META5",1,0
"ASH1L-AS1","META5",1,0
"ATP8B2","META5",1,0
"C1orf189","META5",1,0
"C1orf43","META5",1,0
"CHRNB2","META5",1,0
"CKS1B","META5",1,0
"CLK2","META5",1,0
"CREB3L4","META5",1,0
"CRTC2","META5",1,0
"DAP3","META5",1,0
"DCST1","META5",1,0
"DCST1-AS1","META5",1,0
"DCST2","META5",1,0
"DENND4B","META5",1,0
"DPM3","META5",1,0
"EFNA1","META5",1,0
"EFNA3","META5",1,0
"EFNA4","META5",1,0
"FAM189B","META5",1,0
"FDPS","META5",1,0
"FLAD1","META5",1,0
"GBA","META5",1,1
"GBAP1","META5",1,0
"GON4L","META5",1,0
"HAX1","META5",1,0
"HCN3","META5",1,0
"IL6R","META5",1,0
"IL6R-AS1","META5",1,0
"JTB","META5",1,0
"KCNN3","META5",1,0
"KHDC4","META5",1,0
"KRTCAP2","META5",1,0
"LAMTOR2","META5",1,0
"LENEP","META5",1,0
"LMNA","META5",1,0
"LOC101928120","META5",1,0
"MEX3A","META5",1,0
"MIR190B","META5",1,0
"MIR4258","META5",1,0
"MIR555","META5",1,0
"MIR5698","META5",1,0
"MIR6737","META5",1,0
"MIR6738","META5",1,0
"MIR92B","META5",1,0
"MSTO1","META5",1,0
"MSTO2P","META5",1,0
"MTX1","META5",1,0
"MUC1","META5",1,0
"NUP210L","META5",1,0
"PBXIP1","META5",1,0
"PKLR","META5",1,0
"PMF1","META5",1,0
"PMF1-BGLAP","META5",1,0
"PMVK","META5",1,0
"POU5F1P4","META5",1,0
"PYGO2","META5",1,0
"RAB13","META5",1,0
"RAB25","META5",1,0
"RIT1","META5",1,0
"RPS27","META5",1,0
"RUSC1","META5",1,0
"RUSC1-AS1","META5",1,0
"RXFP4","META5",1,0
"SCAMP3","META5",1,0
"SCARNA26A","META5",1,0
"SCARNA26B","META5",1,0
"SCARNA4","META5",1,0
"SEMA4A","META5",1,0
"SHC1","META5",1,0
"SHE","META5",1,1
"SLC25A44","META5",1,0
"SLC39A1","META5",1,0
"SLC50A1","META5",1,0
"SNORA58B","META5",1,0
"SNORA80E","META5",1,0
"SSR2","META5",1,0
"SYT11","META5",1,1
"TDRD10","META5",1,0
"THBS3","META5",1,0
"TPM3","META5",1,0
"TRIM46","META5",1,0
"UBAP2L","META5",1,0
"UBE2Q1","META5",1,0
"UBE2Q1-AS1","META5",1,0
"UBQLN4","META5",1,0
"YY1AP1","META5",1,0
"ZBTB7B","META5",1,0
"ADAMTS4","META5",2,0
"APOA2","META5",2,0
"ARHGAP30","META5",2,0
"ATF6","META5",2,1
"B4GALT3","META5",2,0
"C1orf226","META5",2,0
"CD244","META5",2,0
"CD48","META5",2,0
"CD84","META5",2,0
"CFAP126","META5",2,0
"DEDD","META5",2,0
"DUSP12","META5",2,0
"F11R","META5",2,0
"FCER1G","META5",2,0
"FCGR2A","META5",2,0
"FCGR2B","META5",2,0
"FCGR2C","META5",2,0
"FCGR3A","META5",2,0
"FCGR3B","META5",2,0
"FCRLA","META5",2,0
"FCRLB","META5",2,0
"HSPA6","META5",2,0
"HSPA7","META5",2,0
"ITLN1","META5",2,0
"ITLN2","META5",2,0
"KLHDC9","META5",2,0
"LOC101928372","META5",2,0
"LOC112543491","META5",2,0
"LY9","META5",2,0
"MIR4654","META5",2,0
"MIR5187","META5",2,0
"MIR556","META5",2,0
"MPZ","META5",2,0
"NDUFS2","META5",2,0
"NECTIN4","META5",2,0
"NIT1","META5",2,0
"NOS1AP","META5",2,0
"NR1I3","META5",2,0
"OLFML2B","META5",2,0
"PCP4L1","META5",2,0
"PFDN2","META5",2,0
"PPOX","META5",2,0
"RPL31P11","META5",2,0
"SDHC","META5",2,0
"SH2D1B","META5",2,0
"SLAMF1","META5",2,0
"SLAMF6","META5",2,0
"SLAMF7","META5",2,0
"SPATA46","META5",2,0
"TOMM40L","META5",2,0
"TSTD1","META5",2,0
"UFC1","META5",2,0
"UHMK1","META5",2,0
"USF1","META5",2,0
"USP21","META5",2,0
"C1orf105","META5",3,0
"DNM3","META5",3,1
"DNM3-IT1","META5",3,0
"DNM3OS","META5",3,0
"EEF1AKNMT","META5",3,0
"FASLG","META5",3,0
"FMO1","META5",3,0
"FMO2","META5",3,0
"FMO3","META5",3,0
"FMO4","META5",3,0
"FMO6P","META5",3,0
"MIR1295A","META5",3,0
"MIR1295B","META5",3,0
"MIR199A2","META5",3,0
"MIR214","META5",3,0
"MIR3120","META5",3,0
"MROH9","META5",3,0
"MYOC","META5",3,0
"MYOCOS","META5",3,0
"PIGC","META5",3,0
"PRRC2C","META5",3,0
"SUCO","META5",3,0
"TOP1P1","META5",3,0
"VAMP4","META5",3,0
"AVPR1B","META5",4,0
"BLACAT1","META5",4,0
"CDK18","META5",4,0
"CNTN2","META5",4,0
"CTSE","META5",4,0
"DSTYK","META5",4,0
"ELK4","META5",4,0
"FAM72A","META5",4,0
"FAM72C","META5",4,0
"IKBKE","META5",4,0
"KLHDC8A","META5",4,0
"LEMD1","META5",4,0
"LEMD1-AS1","META5",4,0
"LEMD1-DT","META5",4,0
"LOC284581","META5",4,0
"MFSD4A","META5",4,0
"MFSD4A-AS1","META5",4,0
"MIR135B","META5",4,0
"MIR6769B","META5",4,0
"NFASC","META5",4,0
"NUAK2","META5",4,0
"NUCKS1","META5",4,1
"PM20D1","META5",4,0
"RAB29","META5",4,1
"RASSF5","META5",4,0
"RBBP5","META5",4,0
"RHEX","META5",4,0
"SLC26A9","META5",4,0
"SLC41A1","META5",4,1
"SLC45A3","META5",4,0
"SRGAP2","META5",4,0
"SRGAP2D","META5",4,0
"TMCC2","META5",4,0
"TMEM81","META5",4,0
"ACBD3","META5",5,0
